id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
198,Kotti Berliner Döner Kebab,87,0,400.1811812969824,2,4.1,0,15,66
199,Fulton Landing Seafood Co.,27,0,412.576104723534,2,3.9,0,15,66
200,Fulton Landing Seafood Co.,27,0,412.576104723534,2,3.9,0,15,66
201,Jianbing Company,19,0,412.61096790771677,2,4.1,0,15,66
202,Jianbing Company,19,0,412.61096790771677,2,4.1,0,15,66
203,Forcella Fried Pizza,41,0,412.61096790771677,2,4.5,0,15,66
204,Forcella Fried Pizza,41,0,412.61096790771677,2,4.5,0,15,66
205,Home Frite,9,0,413.1627833374908,2,3.6,0,5,66
206,Home Frite,9,0,413.1627833374908,2,3.6,0,5,66
207,Fortina,240,0,419.22183960168854,2,4.1,0,10,66
208,Fortina,240,0,419.22183960168854,2,4.1,0,45,66
209,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,66
210,Guss' Pickles,25,0,424.2845382741983,2,4.2,0,15,66
211,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,66
212,Antonio's Pizzeria,84,0,446.3042102245476,1,3.9,0,15,66
213,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,10,66
214,Fulton Hot Dog King,235,0,439.02291853045875,2,4.4,0,45,66
215,Asian City,333,0,234.0619968319014,2,2.3,0,15,66
216,Asian City,333,0,234.0619968319014,2,2.3,0,15,66
217,honeygrow,301,0,475.4195427825694,2,4.3,0,20,96
218,honeygrow,301,0,475.4195427825694,2,4.3,0,45,96
219,Dining Room,153,0,205.12610388134019,1,4.0,0,20,13
220,Dining Room,153,0,205.12610388134019,1,4.0,0,90,13
221,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,28
222,Kung Fu Tea,166,0,479.0135430407777,1,4.2,0,20,28
223,Bella,37,0,479.77360737611764,1,3.0,0,15,66
224,Bella,37,0,479.77360737611764,1,3.0,0,15,66
225,Lee's Villa,75,0,246.81130493614864,1,4.1,0,20,66
226,Lee's Villa,75,0,246.81130493614864,1,4.1,0,60,66
227,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,63
228,Potbelly Sandwich Shop,251,0,244.36996810832792,1,4.2,0,20,63
229,Blimpie,390,0,262.77911398256026,1,4.0,0,20,66
230,Blimpie,390,0,262.77911398256026,1,4.0,0,20,66
231,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,66
232,Fresh 99 cents pizza,119,0,182.35143637425293,1,4.4,0,15,66
233,Juice Press,333,0,498.4364418666816,2,3.7,0,15,66
234,Juice Press,333,0,498.4364418666816,2,3.7,0,15,66
235,Metro Star,100,0,157.89638141002249,1,4.1,0,15,78
236,Metro Star,100,0,157.89638141002249,1,4.1,0,15,78
237,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,33
238,Brooklyn Deli,59,0,208.72960692079923,1,3.5,0,15,33
